url_length,domain_length,path_length,query_length,fragment_length,qty_dot,qty_hyphen,qty_underline,qty_slash,qty_questionmark,qty_equal,qty_at,qty_and,qty_percent,qty_plus,qty_asterisk,qty_hash,qty_dot_domain,qty_hyphen_domain,qty_vowels_domain,domain_in_ip,subdomain_length,tld_length,server_client_domain,qty_dot_path,qty_hyphen_path,qty_slash_path,qty_space_path,path_extension,qty_directories,length_longest_dir,length_shortest_dir,qty_params,qty_dot_query,qty_hyphen_query,tld_in_query,qty_suspicious_words,email_in_url,qty_digits,is_encoded,is_https,qty_hexadecimal,qty_digits_domain,qty_letters_domain,qty_digits_path,tld_in_subdomain,tld_in_path,qty_tilde,qty_comma,domain_entropy,label
41,10,14,8,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,2,0,0,2,7,5,1,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,2.6464393446710157,0
18,10,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,2.6464393446710157,0
88,21,25,34,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,18,4,0,0,0,0,3.8208888513501886,1
70,20,25,17,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,4,0,0,0,4,0,0,4,6,4,1,0,0,0,5,0,4,0,0,0,0,17,4,0,0,0,0,3.684183719779189,1
81,20,25,28,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,4,0,0,0,4,0,0,4,6,4,1,0,0,0,5,0,4,0,0,0,0,17,4,0,0,0,0,3.684183719779189,1
30,13,0,8,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,3.0269868333592873,0
80,21,25,26,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,18,4,0,0,0,0,3.8208888513501886,1
26,9,0,8,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2.9477027792200903,0
30,13,0,8,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,3.0269868333592873,0
105,31,25,41,0,1,3,0,6,1,1,0,0,0,0,0,0,1,3,12,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,27,4,0,0,0,0,3.88904953591417,1
31,9,14,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,2,0,0,2,7,5,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2.9477027792200903,0
93,20,25,40,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,4,0,0,0,4,0,0,4,6,4,1,0,0,0,5,0,4,0,0,0,0,17,4,0,0,0,0,3.684183719779189,1
66,13,25,20,0,3,0,0,6,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,4,6,4,1,0,0,1,3,0,14,0,0,0,10,0,4,1,1,0,0,2.5654483718208256,1
17,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2.9477027792200903,0
87,20,25,34,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,4,0,0,0,4,0,0,4,6,4,1,0,0,0,5,0,4,0,0,0,0,17,4,0,0,0,0,3.684183719779189,1
31,9,14,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,2,0,0,2,7,5,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2.9477027792200903,0
95,31,25,31,0,1,3,0,6,1,1,0,0,0,0,0,0,1,3,12,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,27,4,0,0,0,0,3.88904953591417,1
95,31,25,31,0,1,3,0,6,1,1,0,0,0,0,0,0,1,3,12,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,27,4,0,0,0,0,3.88904953591417,1
78,21,25,24,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,18,4,0,0,0,0,3.8208888513501886,1
26,9,0,8,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2.9477027792200903,0
80,21,25,26,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,18,4,0,0,0,0,3.8208888513501886,1
65,13,25,19,0,3,0,0,6,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,4,6,4,1,0,0,1,3,0,14,0,0,0,10,0,4,1,1,0,0,2.5654483718208256,1
31,9,14,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,2,0,0,2,7,5,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2.9477027792200903,0
84,13,25,38,0,3,0,0,6,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,4,6,4,1,0,0,1,3,0,14,0,0,0,10,0,4,1,1,0,0,2.5654483718208256,1
35,13,14,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,2,0,0,2,7,5,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,3.0269868333592873,0
70,21,25,16,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,18,4,0,0,0,0,3.8208888513501886,1
21,13,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,3.0269868333592873,0
82,21,25,28,0,1,2,0,6,1,1,0,0,0,0,0,0,1,2,6,0,0,3,0,0,0,4,0,0,4,6,4,1,0,0,0,4,0,4,0,0,0,0,18,4,0,0,0,0,3.8208888513501886,1
40,9,14,8,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,2,0,0,2,7,5,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2.9477027792200903,0
71,13,25,25,0,3,0,0,6,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,4,6,4,1,0,0,1,3,0,14,0,0,0,10,0,4,1,1,0,0,2.5654483718208256,1
